matching_idx,policy_area,subtopic_1,subtopic_2
5315,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5316,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Reform
5317,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5318,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
5319,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5320,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5321,Government Operations and Politics,Strengthening Government Accountability,Federal Election Oversight
5322,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5323,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5324,Government Operations and Politics,Strengthening Government Accountability,Federal Election Oversight
5325,Government Operations and Politics,Misc.,Misc.
5326,Government Operations and Politics,Strengthening Government Accountability,National Aeronautics Authority
5327,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5328,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Reform
5329,Government Operations and Politics,Misc.,Misc.
5330,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Laws
5331,Government Operations and Politics,Strengthening Voting Rights,Voter Rights Protection
5332,Government Operations and Politics,Strengthening Government Accountability,Federal Elections Oversight
5333,Government Operations and Politics,Misc.,Misc.
5334,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5335,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5336,Government Operations and Politics,Strengthening Government Accountability,Elections Authority
5337,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5338,Government Operations and Politics,Misc.,Misc.
5339,Government Operations and Politics,Increasing Election Security Measures,Voter Fraud Prevention
5340,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5341,Government Operations and Politics,Strengthening Government Accountability,Gerrymandering Reform
5342,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5343,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5344,Government Operations and Politics,Voting Rights Expansion,Voting Rights
5345,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5346,Government Operations and Politics,Strengthening Government Accountability,Vaccine Mandate Mandates
5347,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5348,Government Operations and Politics,Strengthening Government Accountability,Voter ID Laws
5349,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5350,Government Operations and Politics,Voting Rights Expansion,Voting Rights Reform
5351,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5352,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Laws
5353,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Requirements
5354,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5355,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5356,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5357,Government Operations and Politics,Strengthening Voting Rights,Voting Rights
5358,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Regulations
5359,Government Operations and Politics,Strengthening Government Accountability,Federal Government Overreach
5360,Government Operations and Politics,Misc.,Misc.
5361,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5362,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Requirements
5363,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Requirements
5364,Government Operations and Politics,Strengthening Voting Rights,Voting Rights
5365,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5366,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5367,Government Operations and Politics,Misc.,Misc.
5368,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5369,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5370,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5371,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Reform
5372,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5373,Government Operations and Politics,Misc.,Misc.
5374,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5375,Government Operations and Politics,Strengthening Voting Rights,Voting Rights
5376,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5377,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5378,International Affairs,Increasing Economic Sanctions,Russia Sanctions
5379,International Affairs,Increasing Economic Sanctions,Russian Sanctions on Russia
5380,International Affairs,Increasing Economic Sanctions,Sanctions on Russia
5381,International Affairs,Misc.,Misc.
5382,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5383,Government Operations and Politics,Voting Rights Expansion,Voting Rights
5384,Foreign Trade and International Finance,Increasing Sanctions on Russia,De minimis Trade Regulations
5385,Education,Misc.,Misc.
5386,Education,Increasing Education Funding,Education Funding Support
5387,Education,Increasing Education Funding,Impact Aid Flexibility
5388,Education,Increasing Education Funding,Impact Aid Flexibility
5389,Education,Increasing Education Funding,School Aid Flexibility
5390,Education,Increasing Education Funding,Vaccine and Mask Mandates
5391,Education,Increasing Education Funding,Impact Aid Flexibility
5392,Education,Increasing Education Funding,Support for Impact Aid Schools
5393,Education,Expanding Mental Health Services,Mental Health Services
5394,Law,Misc.,Misc.
5395,Law,Misc.,Misc.
5396,Law,Misc.,Misc.
5397,Law,Misc.,Misc.
5398,Law,Misc.,Misc.
5399,Law,Misc.,Misc.
5400,Armed Forces and National Security,Expanding Military Recognition Programs,Military Recognition
5401,Armed Forces and National Security,Expanding Military Recognition Programs,Ghost Army Recognition
5402,Armed Forces and National Security,Expanding Military Recognition Programs,Ghost Army Deception Recognition
5403,Armed Forces and National Security,Expanding Military Recognition Programs,Ghost Army Recognition
5404,Armed Forces and National Security,Expanding Military Recognition Programs,Military Recognition
5405,Armed Forces and National Security,Expanding Military Recognition Programs,Military Recognition
5406,Sports and Recreation,Increasing Equity for Athletes,Diversity in Sports Equity
5407,Sports and Recreation,Increasing Equity for Athletes,Willie O'Ree Recognition
5408,Sports and Recreation,Increasing Equity for Athletes,Racial Inclusion in Sports
5409,Sports and Recreation,Increasing Equity for Athletes,Equity for Athletes
5410,Sports and Recreation,Increasing Equity for Athletes,Willie O'Ree Recognition
5411,Sports and Recreation,Increasing Equity for Athletes,Willie O'Ree Recognition
5412,Sports and Recreation,Increasing Equity for Athletes,Willie O'Ree Recognition
5413,Sports and Recreation,Increasing Equity for Athletes,Willie O'Ree Memorial Award
5414,Sports and Recreation,Increasing Equity for Athletes,Diversity Recognition in Sports
5415,Government Operations and Politics,Expanding D.C. Statehood Rights,D.C. Statehood
5416,Armed Forces and National Security,Enhancing Veterans' Accountability,Veteran Enrollment Reform
5417,Armed Forces and National Security,Expanding Veterans' Mental Health Services,Veterans' Mental Health Services
5418,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
5419,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veteran Healthcare Access
5420,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
5421,Armed Forces and National Security,Expanding Veteran Support Services,Veteran Support Services
5422,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
5423,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
5424,Armed Forces and National Security,Misc.,Misc.
5425,Armed Forces and National Security,Misc.,Misc.
5426,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
5427,Armed Forces and National Security,Misc.,Misc.
5428,Armed Forces and National Security,Military Accountability Measures,Military Reachout Accountability
