policy_area,gpt_label,document_index,new_subtopic
Agriculture and Food,Challenges and Policies in Agriculture,2048,Amendment Support for Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2049,Regulatory Overreach in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2050,Agricultural Regulations and Policy Riders
Agriculture and Food,Challenges and Policies in Agriculture,2051,Constitutional Oversight in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2052,Dairy Business Innovation Funding
Agriculture and Food,Challenges and Policies in Agriculture,2053,Support for Dairy Farmers
Agriculture and Food,Challenges and Policies in Agriculture,2054,Climate Policy in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2055,Climate Change and Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2080,Climate Change and Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2057,Transparency in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2061,Transparency in Agriculture Programs
Agriculture and Food,Challenges and Policies in Agriculture,2064,SNAP Benefits and Food Policy
Agriculture and Food,Challenges and Policies in Agriculture,2077,Able-bodied Workforce Participation
Agriculture and Food,Challenges and Policies in Agriculture,2079,Climate Policy and Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2081,Carbon emissions in agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2083,Support for Amendment
Agriculture and Food,Challenges and Policies in Agriculture,2085,Animal disease traceability in agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2086,Cattle Identification Regulations
Agriculture and Food,Challenges and Policies in Agriculture,2094,Transgenic Edible Vaccine Funding
Agriculture and Food,Challenges and Policies in Agriculture,2095,Livestock Health and Disease Prevention
Agriculture and Food,Challenges and Policies in Agriculture,2096,Transgenic Edible Plant Vaccines
Agriculture and Food,Challenges and Policies in Agriculture,2098,Amendment to Farm Bill
Agriculture and Food,Challenges and Policies in Agriculture,2100,Woke Ideology in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2101,Inclusion in Agriculture Education
Agriculture and Food,Challenges and Policies in Agriculture,2109,Racial Equity in Education
Agriculture and Food,Challenges and Policies in Agriculture,2110,Racial Equity in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2112,LGBT Rights in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2114,Support for American Values
Agriculture and Food,Challenges and Policies in Agriculture,2118,Funding Cuts in Agriculture
Agriculture and Food,Challenges and Policies in Agriculture,2119,Agriculture appropriation increase
Agriculture and Food,Challenges and Policies in Agriculture,2653,Voting Decisions on Agriculture Legislation
Agriculture and Food,Challenges and Policies in Agriculture,3411,Agriculture Research Collaboration
Agriculture and Food,Challenges and Policies in Agriculture,3412,Joint Research and Development Support
Agriculture and Food,Challenges and Policies in Agriculture,3413,Agriculture Research Policy
Agriculture and Food,Federal Budget and Spending Challenges,1945,Budget Deficit Issues
Agriculture and Food,Federal Budget and Spending Challenges,1946,Tax Revenue Collection Issues
Agriculture and Food,Federal Budget and Spending Challenges,1947,Opposition to WIC Cuts
Agriculture and Food,Federal Budget and Spending Challenges,1948,Funding WIC Funding
Agriculture and Food,Federal Budget and Spending Challenges,1952,Government Spending and Inflation
Agriculture and Food,Federal Budget and Spending Challenges,1955,Budget Deficit and Border Security
Agriculture and Food,Federal Budget and Spending Challenges,1958,Budget Cuts and Spending
Agriculture and Food,Federal Budget and Spending Challenges,1960,Federal Spending and Funding Levels
Agriculture and Food,Federal Budget and Spending Challenges,1969,Federal Spending and Debt
Agriculture and Food,Federal Budget and Spending Challenges,2798,Federal Spending and Debt
Agriculture and Food,Federal Budget and Spending Challenges,2800,Federal Spending and Debt
Agriculture and Food,Federal Budget and Spending Challenges,1971,Budget Deficit and Debt
Agriculture and Food,Federal Budget and Spending Challenges,1972,Inflation and Energy Costs
Agriculture and Food,Federal Budget and Spending Challenges,3059,Inflation and Energy Costs
Agriculture and Food,Federal Budget and Spending Challenges,1974,Biden Administration and Federal Spending
Agriculture and Food,Federal Budget and Spending Challenges,1980,Federal Funding and Inflation
Agriculture and Food,Federal Budget and Spending Challenges,1983,Federal Spending and Debt
Agriculture and Food,Federal Budget and Spending Challenges,2117,Federal Spending Reduction
Agriculture and Food,Federal Budget and Spending Challenges,1986,Federal Reserve and Debt Crisis
Agriculture and Food,Federal Budget and Spending Challenges,1213,Federal Spending and Energy Policy
Agriculture and Food,Federal Budget and Spending Challenges,1987,Federal Spending and Deficit
Agriculture and Food,Federal Budget and Spending Challenges,1996,Federal Spending and Energy Policy
Agriculture and Food,Federal Budget and Spending Challenges,1988,Government Spending Cuts
Agriculture and Food,Federal Budget and Spending Challenges,1990,Federal Spending and Responsibility
Agriculture and Food,Federal Budget and Spending Challenges,1991,Federal Spending and Housing Programs
Agriculture and Food,Federal Budget and Spending Challenges,2003,Federal Deficit Reduction
Agriculture and Food,Federal Budget and Spending Challenges,2006,Deficit Reduction in Foreign Aid
Agriculture and Food,Federal Budget and Spending Challenges,2016,Federal Spending and Deficits
Agriculture and Food,Federal Budget and Spending Challenges,2017,CFTC Funding Cuts
Agriculture and Food,Federal Budget and Spending Challenges,2020,CFTC Funding Cuts
Agriculture and Food,Federal Budget and Spending Challenges,2018,Commodity Futures Commission Funding
Agriculture and Food,Federal Budget and Spending Challenges,2019,Funding for CFTC Funding
Agriculture and Food,Federal Budget and Spending Challenges,2021,Fiscal Responsibility for CFTC
Agriculture and Food,Federal Budget and Spending Challenges,2063,Amendment No. 77 Adoption
Agriculture and Food,Federal Budget and Spending Challenges,2070,Federal Budget and Spending Challenges
Agriculture and Food,Federal Budget and Spending Challenges,2071,Green New Deal Funding
Agriculture and Food,Federal Budget and Spending Challenges,2074,Federal Spending and Borrowing
International Affairs,U.S.-China Relations and Security Issues,740,Undersea Cable Control Act
International Affairs,U.S.-China Relations and Security Issues,741,U.S.-China Technology Competition
International Affairs,U.S.-China Relations and Security Issues,742,U.S.-China Relations
International Affairs,U.S.-China Relations and Security Issues,1097,Telecommunications Equipment Reporting
International Affairs,U.S.-China Relations and Security Issues,1098,Countering Chinese Telecom Companies
International Affairs,U.S.-China Relations and Security Issues,1099,Telecommunications Security Legislation
International Affairs,U.S.-China Relations and Security Issues,1101,Telecommunications Security Legislation
International Affairs,U.S.-China Relations and Security Issues,1100,Countering Chinese Telecom Vulnerabilities
International Affairs,U.S.-China Relations and Security Issues,1102,Security and Technology Vulnerabilities
International Affairs,U.S.-China Relations and Security Issues,1810,Sanctions on Chinese Opioid Production
International Affairs,U.S.-China Relations and Security Issues,1811,Fentanyl and Chinese Fentanyl Policy
International Affairs,U.S.-China Relations and Security Issues,1812,Fentanyl and U.S.-China Relations
International Affairs,U.S.-China Relations and Security Issues,1814,Chinese Contribution to Opioid Crisis
International Affairs,U.S.-China Relations and Security Issues,1815,Taiwan and China Relations
International Affairs,U.S.-China Relations and Security Issues,1816,Taiwan and International Organizations
International Affairs,U.S.-China Relations and Security Issues,1819,Taiwan and International Organizations
International Affairs,U.S.-China Relations and Security Issues,1817,Taiwan and International Organizations
International Affairs,U.S.-China Relations and Security Issues,1821,Taiwan's International Participation
International Affairs,U.S.-China Relations and Security Issues,1818,Taiwan-China Relations
International Affairs,U.S.-China Relations and Security Issues,1820,Taiwan's International Participation
International Affairs,U.S.-China Relations and Security Issues,1857,Fentanyl Trafficking Legislation
International Affairs,U.S.-China Relations and Security Issues,2456,Countering China's Influence
International Affairs,U.S.-China Relations and Security Issues,2473,Borrowing Money from China
International Affairs,U.S.-China Relations and Security Issues,2490,U.S.-Taiwan Relations
